GID	GO	EVIDENCE
ostta01g00090	GO:0006749	ISS
ostta01g00130	GO:0006749	ISS
ostta01g02847	GO:0006749	ISS
ostta01g03640	GO:0006749	ISS
ostta02g00130	GO:0006749	ISS
ostta02g01190	GO:0006749	ISS
ostta02g01240	GO:0006749	ISS
ostta04g03320	GO:0006749	ISS
ostta04g03960	GO:0006749	ISS
ostta05g01870	GO:0006749	ISS
ostta05g04590	GO:0006749	ISS
ostta06g01430	GO:0006749	ISS
ostta06g02110	GO:0006749	ISS
ostta07g00430	GO:0006749	ISS
ostta07g04260	GO:0006749	ISS
ostta08g00190	GO:0006749	ISS
ostta08g00560	GO:0006749	ISS
ostta08g02480	GO:0006749	ISS
ostta09g00500	GO:0006749	ISS
ostta11g01100	GO:0006749	ISS
ostta12g01230	GO:0006749	ISS
ostta12g02410	GO:0006749	ISS
ostta13g02500	GO:0006749	ISS
ostta14g01390	GO:0006749	ISS
ostta16g00470	GO:0006749	ISS
ostta17g02340	GO:0006749	ISS
ostta01g02440	GO:0005982	ISS
ostta02g00840	GO:0005982	ISS
ostta02g03360	GO:0005982	ISS
ostta02g04570	GO:0005982	ISS
ostta02g05060	GO:0005982	ISS
ostta03g00870	GO:0005982	ISS
ostta03g03180	GO:0005982	ISS
ostta04g01980	GO:0005982	ISS
ostta04g03940	GO:0005982	ISS
ostta05g04330	GO:0005982	ISS
ostta06g02940	GO:0005982	ISS
ostta06g03160	GO:0005982	ISS
ostta07g01950	GO:0005982	ISS
ostta07g03070	GO:0005982	ISS
ostta07g03440	GO:0005982	ISS
ostta07g04170	GO:0005982	ISS
ostta10g00260	GO:0005982	ISS
ostta11g00260	GO:0005982	ISS
ostta11g00960	GO:0005982	ISS
ostta11g02110	GO:0005982	ISS
ostta11g02780	GO:0005982	ISS
ostta12g00320	GO:0005982	ISS
ostta12g02400	GO:0005982	ISS
ostta13g01180	GO:0005982	ISS
ostta13g01200	GO:0005982	ISS
ostta14g00250	GO:0005982	ISS
ostta14g02180	GO:0005982	ISS
ostta15g02520	GO:0005982	ISS
ostta16g00440	GO:0005982	ISS
ostta16g01560	GO:0005982	ISS
ostta16g02480	GO:0005982	ISS
ostta20g00490	GO:0005982	ISS
ostta02g00860	GO:0006487	ISS
ostta04g01000	GO:0006487	ISS
ostta05g02820	GO:0006487	ISS
ostta07g04510	GO:0006487	ISS
ostta07g04570	GO:0006487	ISS
ostta08g02820	GO:0006487	ISS
ostta09g00280	GO:0006487	ISS
ostta10g00350	GO:0006487	ISS
ostta12g00150	GO:0006487	ISS
ostta13g00580	GO:0006487	ISS
ostta14g02510	GO:0006487	ISS
ostta15g01020	GO:0006487	ISS
ostta16g01040	GO:0006487	ISS
ostta16g02020	GO:0006487	ISS
ostta17g01080	GO:0006487	ISS
ostta07g03640	GO:0006044	ISS
ostta01g04910	GO:0018279	ISS
ostta02g00040	GO:0018279	ISS
ostta02g00860	GO:0018279	ISS
ostta04g01000	GO:0018279	ISS
ostta05g02820	GO:0018279	ISS
ostta09g00280	GO:0018279	ISS
ostta10g00350	GO:0018279	ISS
ostta14g02510	GO:0018279	ISS
ostta15g01020	GO:0018279	ISS
ostta16g01040	GO:0018279	ISS
ostta16g02020	GO:0018279	ISS
ostta17g01080	GO:0018279	ISS
ostta19g00410	GO:0018279	ISS
ostta01g01440	GO:0016266	ISS
ostta01g03660	GO:0016266	ISS
ostta02g02070	GO:0016266	ISS
ostta02g04620	GO:0016266	ISS
ostta03g05030	GO:0016266	ISS
ostta04g02290	GO:0016266	ISS
ostta04g02330	GO:0016266	ISS
ostta06g01970	GO:0016266	ISS
ostta07g01310	GO:0016266	ISS
ostta09g01110	GO:0016266	ISS
ostta11g01630	GO:0016266	ISS
ostta12g01120	GO:0016266	ISS
ostta12g02990	GO:0016266	ISS
ostta17g00520	GO:0016266	ISS
ostta17g00870	GO:0016266	ISS
ostta19g00120	GO:0016266	ISS
ostta19g00320	GO:0016266	ISS
ostta01g01510	GO:0006044	ISS
ostta02g00840	GO:0006044	ISS
ostta02g02840	GO:0006044	ISS
ostta02g04540	GO:0006044	ISS
