pathway.id	pathway.description	genes	GO
path:ota00565	Ether lipid metabolism	ostta06g03200,ostta07g02580,ostta14g02410,ostta17g01420,ostta17g02080,ostta18g00810	GO:0046485
path:ota00590	Arachidonic acid metabolism	ostta01g02847,ostta02g03120,ostta06g03200,ostta07g00430,ostta14g01345,ostta17g02080	GO:0019369
path:ota00592	alpha-Linolenic acid metabolism	ostta01g02650,ostta03g04620,ostta06g03200,ostta06g04450,ostta12g02310,ostta13g01040,ostta17g02080	GO:0036109
path:ota00600	Sphingolipid metabolism	ostta02g02240,ostta07g00630,ostta07g03640,ostta16g01250	GO:0006665
path:ota00604	Glycosphingolipid biosynthesis	ostta01g01650	GO:0006688
path:ota00620	Pyruvate metabolism	ostta01g00040,ostta01g00590,ostta01g03030,ostta01g03280,ostta01g04230,ostta01g05260,ostta01g05560,ostta02g02370,ostta02g04360,ostta03g00180,ostta03g01030,ostta03g02570,ostta04g01030,ostta04g03550,ostta04g04830,ostta05g02900,ostta06g00150,ostta06g02270,ostta06g02650,ostta06g02770,ostta06g03750,ostta07g01040,ostta08g00050,ostta08g00930,ostta08g00980,ostta08g02720,ostta08g03480,ostta09g03765,ostta10g01370,ostta10g03450,ostta11g02820,ostta12g02650,ostta12g02960,ostta15g01350,ostta16g00480,ostta16g00550	GO:0006090
path:ota00630	Glyoxylate and dicarboxylate metabolism	ostta01g05020,ostta02g02370,ostta03g00180,ostta03g00920,ostta03g02570,ostta04g04830,ostta05g00220,ostta05g01760,ostta06g00150,ostta06g01870,ostta06g02270,ostta08g00050,ostta08g02360,ostta10g02780,ostta10g03200,ostta11g02820,ostta12g00290,ostta14g01900,ostta14g02420,ostta15g02560,ostta15g02900,ostta17g02090,ostta18g01090,ostta18g01880,ostta18g01890,ostta19g00170	GO:0046487
path:ota00640	Propanoate metabolism	ostta01g02650,ostta01g03280,ostta02g02370,ostta03g02570,ostta03g05920,ostta04g04390,ostta04g04830,ostta09g03720,ostta10g02200,ostta10g03450,ostta11g02820,ostta12g02310	GO:0019541
path:ota00650	Butanoate metabolism	ostta02g03460,ostta05g00220,ostta09g03720,ostta10g02200,ostta11g00540,ostta12g00290,ostta14g00820,ostta16g02080	GO:0019605
path:ota00660	C5-Branched dibasic acid metabolism	ostta11g00540,ostta14g00820,ostta14g02970,ostta16g02080	GO:0043648
