gene_id	GO_ids
ostta16g01500	GO:0004430; GO:0005737; GO:0016020; GO:0046854; GO:0048015
ostta07g02120	GO:0004430
ostta09g01910	GO:0005829; GO:0016020
ostta12g03050	GO:0016020; GO:0055085
ostta07g04120	GO:0005524; GO:0005886; GO:0016308; GO:0046854
ostta18g00560	GO:0005524; GO:0005886; GO:0016308; GO:0046854
ostta08g01290	GO:0004435; GO:0016042; GO:0048015; GO:0051209
ostta20g00320	GO:0003881; GO:0005794; GO:0006661; GO:0016020; GO:0046872
ostta01g05630	GO:0004386; GO:0005524; GO:0005634; GO:0016787; GO:0140993
ostta05g02550	GO:0004379; GO:0005737
ostta13g02040	GO:0000428; GO:0003899; GO:0006269; GO:0046872
ostta01g03360	GO:0005762
ostta02g03860	GO:0009538; GO:0015979
ostta04g01790	GO:0009535; GO:0009538; GO:0009543; GO:0015979
ostta05g00800	GO:0009507; GO:0009522; GO:0015979
ostta15g00990	GO:0009535; GO:0009538; GO:0015979
ostta02g00580	GO:0009535; GO:0009538; GO:0015979
ostta02g05340	GO:0016020
ostta12g01970	GO:0009523; GO:0010206; GO:0010207
ostta16g00650	GO:0009535; GO:0009654; GO:0015979
ostta07g02420	GO:0005506; GO:0009055; GO:0009535; GO:0009539; GO:0009767; GO:0020037
ostta07g02410	GO:0009535; GO:0009539; GO:0015979
ostta12g00420	GO:0005737; GO:0009523; GO:0019684
ostta14g00150	GO:0009654; GO:0010207; GO:0010242; GO:0042549
ostta04g03570	
ostta05g04560	GO:0009535; GO:0009654; GO:0015979
ostta02g02320	GO:0009523; GO:0009535; GO:0015979; GO:0042549
ostta11g01160	GO:0003882; GO:0005789; GO:0006646; GO:0006659; GO:0106245
ostta06g00520	GO:0000287; GO:0004019; GO:0005525; GO:0009507; GO:0044208; GO:0046040
ostta16g02100	GO:0000785; GO:0000977; GO:0005634; GO:0005667; GO:0006357; GO:0030154; GO:2000134
ostta18g01890	GO:0009507; GO:0009853; GO:0016984; GO:0019253
ostta18g01880	GO:0009507; GO:0009853; GO:0016984; GO:0019253
ostta18g01440	GO:0003677; GO:0005634; GO:0006260; GO:0006281; GO:0006310; GO:0008270
ostta02g00500	GO:0003677; GO:0003689; GO:0005524; GO:0005634; GO:0005663; GO:0006260; GO:0006281; GO:0016887
ostta12g02485	GO:0003677; GO:0003689; GO:0005524; GO:0005634; GO:0005663; GO:0006261; GO:0006281; GO:0016887
ostta05g00150	GO:0003677; GO:0003689; GO:0005634; GO:0005663; GO:0006271; GO:0006281; GO:0016787
ostta09g00990	GO:0003677; GO:0003689; GO:0005524; GO:0005634; GO:0005663; GO:0006261; GO:0006281; GO:0016887
ostta17g01230	GO:0000155; GO:0016020
ostta15g00045	GO:0003735; GO:0005840; GO:0006412; GO:0008270; GO:1990904
ostta06g02690	GO:0016791
ostta04g03510	GO:0006633; GO:0009507; GO:0045300; GO:0046872
ostta03g01580	GO:0004368; GO:0005739; GO:0006072
ostta01g02510	GO:0000139; GO:0005886
ostta01g03810	GO:0005829; GO:0005975; GO:0046168; GO:0051287; GO:0141152
ostta04g03930	GO:0005829; GO:0005975; GO:0020015; GO:0046168; GO:0051287; GO:0141152
ostta11g02095	GO:0005975; GO:0008422
ostta16g00510	GO:0016758
ostta15g01140	GO:0006629; GO:0016020; GO:0016717
ostta09g01740	GO:0016787
ostta03g03830	GO:0003838; GO:0005783; GO:0016020; GO:0016126; GO:0032259
ostta02g04440	GO:0008168; GO:0009820; GO:0032259
ostta07g01270	GO:0008757; GO:0032259
ostta07g04670	GO:0008168; GO:0009820; GO:0032259
ostta08g00940	GO:0008757; GO:0009820; GO:0032259
ostta08g02430	GO:0005783; GO:0006694; GO:0008757; GO:0016020; GO:0032259
ostta01g03050	GO:0005975; GO:0030246; GO:0051060
ostta10g03430	
ostta17g01410	GO:0016020; GO:0016757
ostta15g01110	GO:0016020; GO:0016757
ostta08g03180	GO:0004506; GO:0005783; GO:0016020; GO:0016126; GO:0050660
ostta04g02080	GO:0005789; GO:0008610; GO:0045338; GO:0051996; GO:0055056
ostta08g01380	GO:0007224; GO:0016020; GO:0022857
ostta09g01240	GO:0007224; GO:0016020; GO:0022857
ostta13g01370	GO:0006629
ostta01g01130	GO:0006629
ostta17g02080	GO:0004806; GO:0016042
ostta06g03200	GO:0004806; GO:0016020; GO:0016042
ostta13g02360	GO:0005741; GO:0005743; GO:0006644; GO:0008374
ostta17g00650	GO:0005764; GO:0008474
ostta12g02200	GO:0005548; GO:0043190
ostta06g01410	GO:0005319; GO:0005543; GO:0009706
ostta08g02300	GO:0005524; GO:0016887
ostta06g03440	GO:0000287; GO:0005524; GO:0005886; GO:0016887; GO:0045332; GO:0140326
ostta13g01820	GO:0000160; GO:0003700; GO:0005634; GO:0048511
ostta05g00500	GO:0000228; GO:0000287; GO:0000706; GO:0003677; GO:0003918; GO:0005524; GO:0006265; GO:0007131; GO:0009330; GO:0042138
ostta05g02940	GO:0003677; GO:0003918; GO:0005524; GO:0005634; GO:0006265; GO:0009330
ostta13g00320	GO:0003977; GO:0006048
ostta08g02740	
ostta03g03040	GO:0006629; GO:0016020; GO:0016717
ostta05g03500	GO:0005524; GO:0016020; GO:0016887; GO:0140359
ostta04g03540	GO:0005524; GO:0016020; GO:0016887; GO:0140359
ostta09g01615	GO:0005524; GO:0016020; GO:0016887; GO:0140359
ostta06g01550	GO:0005524; GO:0005886; GO:0016887; GO:0140359
ostta10g01550	GO:0005524; GO:0016020; GO:0016887; GO:0140359
ostta10g01760	GO:0005524; GO:0016020; GO:0016887; GO:0140359
ostta04g00610	GO:0005524; GO:0016020; GO:0016887; GO:0140359
ostta14g01680	GO:0005524; GO:0016020; GO:0016887; GO:0140359
ostta10g00670	GO:0000076; GO:0004672; GO:0005524; GO:0005634; GO:0005737
ostta09g02310	GO:0005886; GO:0008374; GO:0019432
ostta14g02840	GO:0016042
ostta07g04340	GO:0003700; GO:0005634; GO:0043565
ostta11g02490	GO:0003700; GO:0005634; GO:0043565
ostta08g02190	GO:0003700; GO:0005634; GO:0043565
ostta13g01310	GO:0003677; GO:0003700; GO:0005634
ostta17g00350	GO:0003697; GO:0006355; GO:0006952
ostta04g04290	GO:0003677; GO:0005634; GO:0006355
ostta06g01070	GO:0003677; GO:0006352; GO:0016987
ostta04g03560	GO:0003677; GO:0006352; GO:0016987
ostta17g00610	GO:0003677; GO:0005634
ostta20g00070	GO:0003677
ostta14g03060	
ostta14g00260	GO:0003677; GO:0003700; GO:0005634
ostta14g01550	GO:0006261; GO:0008623; GO:0046982
ostta07g03450	GO:0016020
ostta05g02380	GO:0003700
ostta02g04300	GO:0003700
ostta14g01760	
ostta07g00080	GO:0003700
ostta02g01710	GO:0003700
ostta01g02910	GO:0005634; GO:0006325
ostta18g00490	GO:0035267
ostta01g06050	
ostta03g00840	
ostta03g02980	GO:0003677; GO:0005634
ostta06g01220	GO:0003677; GO:0005634; GO:0006355; GO:0009723; GO:0009739
ostta13g00740	GO:0003691; GO:0005694; GO:0005730
ostta18g01950	GO:0000978; GO:0000981; GO:0005634
ostta02g01050	GO:0017108
ostta03g02140	GO:0005634
ostta04g04770	GO:0003677; GO:0005634
ostta06g01950	
ostta11g03070	GO:0005634
ostta15g01430	GO:0000978; GO:0001006; GO:0005634; GO:0019185; GO:0042795; GO:0042796
ostta01g04130	GO:0003691; GO:0005634; GO:0005694
ostta07g02550	
